record_id,age_years,income_value,tenure_months,monthly_spend,purchase_rate,order_value,promo_usage_rate,return_rate,browse_minutes,support_contacts,payment_channel,market_area
R47904,29,1891.28,26,713.96,1.74,169.63,0.27,0.17,150.96,,Channel_A,Area_C
R20485,27,1139.94,1,0.0,0.05,118.41,0.35,0.11,39.08,3,Channel_B,Area_A
R48306,23,79221.97,41,163.7,0.42,106.29,0.19,0.06,72.94,0,Channel_A,Area_A
R06809,29,586.03,1,3.8,0.0,114.05,0.3,0.38,5.05,2,Channel_C,Area_B
R01502,63,67084.44,72,556.9,10.92,11.46,0.4,0.17,,2,Channel_C,Area_B
R20633,64,346.58,1,4.35,0.65,65.81,0.46,0.06,75.02,2,Channel_A,Area_B
R11590,27,327.16,1,,0.04,174.37,0.55,0.12,0.16,1,Channel_A,Area_A
R41411,38,157610.32,72,841.82,19.79,1.1,0.03,0.04,112.89,3,Channel_B,Area_A
R21163,30,82431.86,1,194.85,2.22,79.97,0.29,0.03,21.03,0,Channel_A,Area_A
R47759,45,108668.97,72,1193.11,12.96,192.85,0.14,0.02,84.84,2,Channel_B,Area_A
R38846,49,0.0,5,241.55,0.75,118.94,0.68,,120.72,2,Channel_A,Area_A
R37273,20,,1,150.68,6.44,42.63,0.37,0.13,129.04,0,Channel_A,Area_A
R04528,56,21846.68,1,2.63,0.0,83.66,0.56,0.12,26.0,0,Channel_B,Area_C
R18980,37,21453.39,48,0.0,1.91,45.46,0.23,0.45,121.75,0,Channel_B,Area_B
R42783,43,871.04,1,0.0,0.06,92.27,0.42,0.12,17.19,4,Channel_A,Area_A
R11197,57,445.06,1,0.0,0.0,94.05,0.55,0.21,58.93,3,Channel_C,Area_C
R27567,55,7830.12,1,121.15,0.0,305.88,0.38,0.15,63.01,0,Channel_C,Area_A
R13940,31,0.0,1,0.0,0.0,208.27,0.81,0.19,0.03,,Channel_B,Area_A
R34824,36,47893.18,1,62.58,0.02,576.27,0.56,0.23,15.69,2,Channel_A,Area_B
R18163,53,94702.3,72,1064.77,17.34,0.0,,0.01,82.03,1,Channel_B,Area_A
